"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
1,"2020-03-23",0,0,0,0,0,0,0,0
2,"2020-03-24",0.02,0,0,0,0.02,0,0,0
3,"2020-03-25",0.00714285714285714,0,0,0,0.00714285714285714,0,0,0
4,"2020-03-26",0.00909090909090909,0,0,0,0.00909090909090909,0,0,0
5,"2020-03-27",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
6,"2020-03-28",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
7,"2020-03-29",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
8,"2020-03-30",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
9,"2020-03-31",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
10,"2020-04-01",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
11,"2020-04-02",0.0125,0,0,0,0.0125,0,0,0
12,"2020-04-03",0.0125,0,0,0,0.0125,0,0,0
13,"2020-04-04",0.0125,0,0,0,0.0125,0,0,0
14,"2020-04-05",0.0125,0,0,0,0.0125,0,0,0
15,"2020-04-06",0.0125,0,0,0,0.0125,0,0,0
16,"2020-04-07",0.0111111111111111,0,0,0,0.0111111111111111,0,0,0
17,"2020-04-08",0.0111111111111111,0,0,0,0.0117271253774663,0,0,0
18,"2020-04-09",0.0111111111111111,0,0,0,0.0116907849767747,0,0,0
19,"2020-04-10",0.01,0,0,0,0.0115965325992085,0,0,0
20,"2020-04-11",0.00833333333333333,0,0,0,0.0114245841877423,0,0,0
21,"2020-04-12",0.00833333333333333,0,0,0,0.011270021645125,0,0,0
22,"2020-04-13",0.00769230769230769,0,0,0,0.0110996543139407,0,0,0
23,"2020-04-14",0.00684931506849315,0,0,0,0.0109064570755113,0,0,0
24,"2020-04-15",0.00641025641025641,0,0,0,0.0107109700900652,0,0,0
25,"2020-04-16",0.00568181818181818,0,0,0,0.0105014220938882,0,0,0
26,"2020-04-17",0.00970873786407767,0,0,0,0.0104697147246959,0,0,0
27,"2020-04-18",0.00970873786407767,0,0,0,0.0104404463839029,0,0,0
28,"2020-04-19",0.00970873786407767,0,0,0,0.0104133460683538,0,0,0
29,"2020-04-20",0.00925925925925926,0,0,0,0.0103721286823147,0,0,0
30,"2020-04-21",0.00884955752212389,0,0,0,0.0103196262285151,0,0,0
31,"2020-04-22",0.00847457627118644,0,0,0,0.0102581245632707,0,0,0
32,"2020-04-23",0.00813008130081301,0,0,0,0.0101894780064173,0,0,0
33,"2020-04-24",0.0078125,0,0,0,0.0101151974437168,0,0,0
34,"2020-04-25",0.00827067669172932,0,0,0,0.0100593028754748,0,0,0
35,"2020-04-26",0.00869565217391304,0,0,0,0.0100191955018994,0,0,0
36,"2020-04-27",0.0102459016393443,0,0,0,0.010025672820112,0,0,0
37,"2020-04-28",0.0105680317040951,0,0,0,0.0100407698626731,0,0,0
38,"2020-04-29",0.0118110236220472,0,0,0,0.0100886121791671,0,0,0
39,"2020-04-30",0.01143583227446,0,0,0,0.0101240701077184,0,0,0
40,"2020-05-01",0.01143583227446,0,0,0,0.0101576890342048,0,0,0
