"year_week","date","countrycode","countryname","icu_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W09",2020-02-25,"NL","Netherlands",NA,0.688571216461736,0.0173589382301278
"2020-W09",2020-02-26,"NL","Netherlands",NA,0.688571216461736,0.0173589382301278
"2020-W09",2020-02-27,"NL","Netherlands",10,0.688571216461736,0.0173589382301278
"2020-W09",2020-02-28,"NL","Netherlands",11,0.688571216461736,0.0173589382301278
"2020-W09",2020-02-29,"NL","Netherlands",12,0.688571216461736,0.0173589382301278
"2020-W09",2020-03-01,"NL","Netherlands",14,0.688571216461736,0.0173589382301278
"2020-W10",2020-03-02,"NL","Netherlands",13,3.03202787752899,0.104153629380767
"2020-W10",2020-03-03,"NL","Netherlands",15,3.03202787752899,0.104153629380767
"2020-W10",2020-03-04,"NL","Netherlands",18,3.03202787752899,0.104153629380767
"2020-W10",2020-03-05,"NL","Netherlands",18,3.03202787752899,0.104153629380767
"2020-W10",2020-03-06,"NL","Netherlands",22,3.03202787752899,0.104153629380767
"2020-W10",2020-03-07,"NL","Netherlands",24,3.03202787752899,0.104153629380767
"2020-W10",2020-03-08,"NL","Netherlands",30,3.03202787752899,0.104153629380767
"2020-W11",2020-03-09,"NL","Netherlands",35,12.2091198885232,0.607562838054473
"2020-W11",2020-03-10,"NL","Netherlands",43,12.2091198885232,0.607562838054473
"2020-W11",2020-03-11,"NL","Netherlands",51,12.2091198885232,0.607562838054473
"2020-W11",2020-03-12,"NL","Netherlands",71,12.2091198885232,0.607562838054473
"2020-W11",2020-03-13,"NL","Netherlands",82,12.2091198885232,0.607562838054473
"2020-W11",2020-03-14,"NL","Netherlands",100,12.2091198885232,0.607562838054473
"2020-W11",2020-03-15,"NL","Netherlands",124,12.2091198885232,0.607562838054473
"2020-W12",2020-03-16,"NL","Netherlands",155,17.9028516280051,2.32609772283712
"2020-W12",2020-03-17,"NL","Netherlands",184,17.9028516280051,2.32609772283712
"2020-W12",2020-03-18,"NL","Netherlands",233,17.9028516280051,2.32609772283712
"2020-W12",2020-03-19,"NL","Netherlands",291,17.9028516280051,2.32609772283712
