"date","year_week","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-02-02,"2020-W05","IT","Italy",NA,NA
2020-02-03,"2020-W06","IT","Italy",NA,NA
2020-02-04,"2020-W06","IT","Italy",NA,NA
2020-02-05,"2020-W06","IT","Italy",NA,NA
2020-02-06,"2020-W06","IT","Italy",NA,NA
2020-02-07,"2020-W06","IT","Italy",NA,NA
2020-02-08,"2020-W06","IT","Italy",NA,NA
2020-02-09,"2020-W06","IT","Italy",NA,NA
2020-02-10,"2020-W07","IT","Italy",NA,NA
2020-02-11,"2020-W07","IT","Italy",NA,NA
2020-02-12,"2020-W07","IT","Italy",NA,NA
2020-02-13,"2020-W07","IT","Italy",NA,NA
2020-02-14,"2020-W07","IT","Italy",NA,NA
2020-02-15,"2020-W07","IT","Italy",NA,NA
2020-02-16,"2020-W07","IT","Italy",NA,NA
2020-02-17,"2020-W07","IT","Italy",NA,NA
2020-02-18,"2020-W07","IT","Italy",NA,NA
2020-02-19,"2020-W08","IT","Italy",NA,NA
2020-02-20,"2020-W08","IT","Italy",NA,NA
2020-02-21,"2020-W08","IT","Italy",NA,NA
2020-02-22,"2020-W08","IT","Italy",NA,NA
2020-02-23,"2020-W08","IT","Italy",NA,NA
2020-02-24,"2020-W08","IT","Italy",127,26
2020-02-25,"2020-W09","IT","Italy",149,35
2020-02-26,"2020-W09","IT","Italy",164,36
2020-02-27,"2020-W09","IT","Italy",304,56
2020-02-28,"2020-W09","IT","Italy",409,64
2020-02-29,"2020-W09","IT","Italy",506,105
2020-03-01,"2020-W09","IT","Italy",779,140
2020-03-02,"2020-W10","IT","Italy",908,166
2020-03-03,"2020-W10","IT","Italy",1263,229
2020-03-04,"2020-W10","IT","Italy",1641,295
2020-03-05,"2020-W10","IT","Italy",2141,351
2020-03-06,"2020-W10","IT","Italy",2856,462
2020-03-07,"2020-W10","IT","Italy",3218,567
2020-03-08,"2020-W10","IT","Italy",4207,650
2020-03-09,"2020-W11","IT","Italy",5049,733
2020-03-10,"2020-W11","IT","Italy",5915,877
2020-03-11,"2020-W11","IT","Italy",6866,1028
2020-03-12,"2020-W11","IT","Italy",7803,1153
2020-03-13,"2020-W11","IT","Italy",8754,1328
2020-03-14,"2020-W11","IT","Italy",9890,1518
2020-03-15,"2020-W11","IT","Italy",11335,1672
2020-03-16,"2020-W12","IT","Italy",12876,1851
2020-03-17,"2020-W12","IT","Italy",14954,2060
2020-03-18,"2020-W12","IT","Italy",16620,2257
2020-03-19,"2020-W12","IT","Italy",18255,2498
2020-03-20,"2020-W12","IT","Italy",18675,2655
2020-03-21,"2020-W12","IT","Italy",20565,2857
2020-03-22,"2020-W12","IT","Italy",22855,3009
2020-03-23,"2020-W13","IT","Italy",23896,3204
2020-03-24,"2020-W13","IT","Italy",25333,3396
2020-03-25,"2020-W13","IT","Italy",26601,3489
2020-03-26,"2020-W13","IT","Italy",28365,3612
2020-03-27,"2020-W13","IT","Italy",29761,3732
2020-03-28,"2020-W13","IT","Italy",30532,3856
2020-03-29,"2020-W13","IT","Italy",31292,3906
2020-03-30,"2020-W14","IT","Italy",31776,3981
2020-03-31,"2020-W14","IT","Italy",32215,4023
2020-04-01,"2020-W14","IT","Italy",32438,4035
2020-04-02,"2020-W14","IT","Italy",32593,4053
2020-04-03,"2020-W14","IT","Italy",32809,4068
2020-04-04,"2020-W14","IT","Italy",33004,3994
2020-04-05,"2020-W14","IT","Italy",32926,3977
2020-04-06,"2020-W15","IT","Italy",32874,3898
2020-04-07,"2020-W15","IT","Italy",32510,3792
2020-04-08,"2020-W15","IT","Italy",32178,3693
2020-04-09,"2020-W15","IT","Italy",32004,3605
2020-04-10,"2020-W15","IT","Italy",31739,3497
2020-04-11,"2020-W15","IT","Italy",31525,3381
2020-04-12,"2020-W15","IT","Italy",31190,3343
2020-04-13,"2020-W16","IT","Italy",31283,3260
2020-04-14,"2020-W16","IT","Italy",31197,3186
2020-04-15,"2020-W16","IT","Italy",30722,3079
2020-04-16,"2020-W16","IT","Italy",29829,2936
2020-04-17,"2020-W16","IT","Italy",28598,2812
2020-04-18,"2020-W16","IT","Italy",27740,2733
2020-04-19,"2020-W16","IT","Italy",27668,2635
2020-04-20,"2020-W17","IT","Italy",27479,2573
2020-04-21,"2020-W17","IT","Italy",26605,2471
2020-04-22,"2020-W17","IT","Italy",26189,2384
2020-04-23,"2020-W17","IT","Italy",25138,2267
2020-04-24,"2020-W17","IT","Italy",24241,2173
2020-04-25,"2020-W17","IT","Italy",23635,2102
2020-04-26,"2020-W17","IT","Italy",23381,2009
2020-04-27,"2020-W18","IT","Italy",22309,1956
2020-04-28,"2020-W18","IT","Italy",21586,1863
2020-04-29,"2020-W18","IT","Italy",21005,1795
2020-04-30,"2020-W18","IT","Italy",19843,1694
2020-05-01,"2020-W18","IT","Italy",19147,1578
2020-05-02,"2020-W18","IT","Italy",18896,1539
2020-05-03,"2020-W18","IT","Italy",18743,1501
2020-05-04,"2020-W19","IT","Italy",18302,1479
2020-05-05,"2020-W19","IT","Italy",17697,1427
2020-05-06,"2020-W19","IT","Italy",17102,1333
2020-05-07,"2020-W19","IT","Italy",16485,1311
2020-05-08,"2020-W19","IT","Italy",15804,1168
2020-05-09,"2020-W19","IT","Italy",14868,1034
2020-05-10,"2020-W19","IT","Italy",14645,1027
2020-05-11,"2020-W20","IT","Italy",14538,999
2020-05-12,"2020-W20","IT","Italy",13817,952
2020-05-13,"2020-W20","IT","Italy",13065,893
2020-05-14,"2020-W20","IT","Italy",12308,855
2020-05-15,"2020-W20","IT","Italy",11600,808
2020-05-16,"2020-W20","IT","Italy",11175,775
2020-05-17,"2020-W20","IT","Italy",11073,762
2020-05-18,"2020-W21","IT","Italy",10956,749
2020-05-19,"2020-W21","IT","Italy",10707,716
2020-05-20,"2020-W21","IT","Italy",10300,676
2020-05-21,"2020-W21","IT","Italy",9909,640
2020-05-22,"2020-W21","IT","Italy",9552,595
2020-05-23,"2020-W21","IT","Italy",9267,572
2020-05-24,"2020-W21","IT","Italy",9166,553
2020-05-25,"2020-W22","IT","Italy",8726,541
2020-05-26,"2020-W22","IT","Italy",8438,521
2020-05-27,"2020-W22","IT","Italy",8234,505
2020-05-28,"2020-W22","IT","Italy",7868,489
2020-05-29,"2020-W22","IT","Italy",7569,475
2020-05-30,"2020-W22","IT","Italy",7130,450
2020-05-31,"2020-W22","IT","Italy",6822,435
2020-06-01,"2020-W23","IT","Italy",6523,424
2020-06-02,"2020-W23","IT","Italy",6324,408
2020-06-03,"2020-W23","IT","Italy",6095,353
2020-06-04,"2020-W23","IT","Italy",5841,338
2020-06-05,"2020-W23","IT","Italy",5617,316
2020-06-06,"2020-W23","IT","Italy",5295,293
2020-06-07,"2020-W23","IT","Italy",5151,287
2020-06-08,"2020-W24","IT","Italy",5012,283
2020-06-09,"2020-W24","IT","Italy",4844,263
2020-06-10,"2020-W24","IT","Italy",4569,249
2020-06-11,"2020-W24","IT","Italy",4367,236
2020-06-12,"2020-W24","IT","Italy",4120,227
2020-06-13,"2020-W24","IT","Italy",3967,220
2020-06-14,"2020-W24","IT","Italy",3803,209
2020-06-15,"2020-W25","IT","Italy",3696,207
2020-06-16,"2020-W25","IT","Italy",3478,177
2020-06-17,"2020-W25","IT","Italy",3276,163
2020-06-18,"2020-W25","IT","Italy",3035,168
2020-06-19,"2020-W25","IT","Italy",2793,161
2020-06-20,"2020-W25","IT","Italy",2626,152
2020-06-21,"2020-W25","IT","Italy",2462,148
2020-06-22,"2020-W26","IT","Italy",2165,127
2020-06-23,"2020-W26","IT","Italy",1968,115
2020-06-24,"2020-W26","IT","Italy",1717,107
2020-06-25,"2020-W26","IT","Italy",1618,103
2020-06-26,"2020-W26","IT","Italy",1461,105
2020-06-27,"2020-W26","IT","Italy",1357,97
2020-06-28,"2020-W26","IT","Italy",1258,98
2020-06-29,"2020-W27","IT","Italy",1216,96
2020-06-30,"2020-W27","IT","Italy",1183,93
2020-07-01,"2020-W27","IT","Italy",1112,87
2020-07-02,"2020-W27","IT","Italy",1045,82
2020-07-03,"2020-W27","IT","Italy",1035,79
2020-07-04,"2020-W27","IT","Italy",1011,71
2020-07-05,"2020-W27","IT","Italy",1019,74
2020-07-06,"2020-W28","IT","Italy",1018,72
2020-07-07,"2020-W28","IT","Italy",1010,70
2020-07-08,"2020-W28","IT","Italy",970,71
2020-07-09,"2020-W28","IT","Italy",940,69
2020-07-10,"2020-W28","IT","Italy",909,65
2020-07-11,"2020-W28","IT","Italy",893,67
2020-07-12,"2020-W28","IT","Italy",844,68
2020-07-13,"2020-W29","IT","Italy",833,65
2020-07-14,"2020-W29","IT","Italy",837,60
2020-07-15,"2020-W29","IT","Italy",854,57
2020-07-16,"2020-W29","IT","Italy",803,53
2020-07-17,"2020-W29","IT","Italy",821,50
2020-07-18,"2020-W29","IT","Italy",807,50
2020-07-19,"2020-W29","IT","Italy",792,49
2020-07-20,"2020-W30","IT","Italy",792,47
2020-07-21,"2020-W30","IT","Italy",781,49
2020-07-22,"2020-W30","IT","Italy",772,48
2020-07-23,"2020-W30","IT","Italy",762,49
2020-07-24,"2020-W30","IT","Italy",759,46
2020-07-25,"2020-W30","IT","Italy",772,41
2020-07-26,"2020-W30","IT","Italy",779,44
2020-07-27,"2020-W31","IT","Italy",785,45
2020-07-28,"2020-W31","IT","Italy",789,40
2020-07-29,"2020-W31","IT","Italy",769,38
2020-07-30,"2020-W31","IT","Italy",795,47
2020-07-31,"2020-W31","IT","Italy",757,41
2020-08-01,"2020-W31","IT","Italy",748,43
2020-08-02,"2020-W31","IT","Italy",750,42
2020-08-03,"2020-W32","IT","Italy",775,41
2020-08-04,"2020-W32","IT","Italy",802,41
2020-08-05,"2020-W32","IT","Italy",805,41
2020-08-06,"2020-W32","IT","Italy",804,42
2020-08-07,"2020-W32","IT","Italy",821,42
2020-08-08,"2020-W32","IT","Italy",814,43
2020-08-09,"2020-W32","IT","Italy",808,45
2020-08-10,"2020-W33","IT","Italy",825,46
2020-08-11,"2020-W33","IT","Italy",850,49
2020-08-12,"2020-W33","IT","Italy",832,53
2020-08-13,"2020-W33","IT","Italy",841,55
2020-08-14,"2020-W33","IT","Italy",827,56
2020-08-15,"2020-W33","IT","Italy",819,55
2020-08-16,"2020-W33","IT","Italy",843,56
2020-08-17,"2020-W34","IT","Italy",868,58
2020-08-18,"2020-W34","IT","Italy",901,58
2020-08-19,"2020-W34","IT","Italy",932,66
2020-08-20,"2020-W34","IT","Italy",951,68
2020-08-21,"2020-W34","IT","Italy",988,69
2020-08-22,"2020-W34","IT","Italy",988,64
2020-08-23,"2020-W34","IT","Italy",1040,69
2020-08-24,"2020-W35","IT","Italy",1110,65
2020-08-25,"2020-W35","IT","Italy",1124,66
2020-08-26,"2020-W35","IT","Italy",1124,69
2020-08-27,"2020-W35","IT","Italy",1198,67
2020-08-28,"2020-W35","IT","Italy",1252,74
2020-08-29,"2020-W35","IT","Italy",1247,79
2020-08-30,"2020-W35","IT","Italy",1337,86
2020-08-31,"2020-W36","IT","Italy",1382,94
2020-09-01,"2020-W36","IT","Italy",1487,107
2020-09-02,"2020-W36","IT","Italy",1546,109
2020-09-03,"2020-W36","IT","Italy",1625,120
2020-09-04,"2020-W36","IT","Italy",1728,121
2020-09-05,"2020-W36","IT","Italy",1741,121
2020-09-06,"2020-W36","IT","Italy",1816,133
2020-09-07,"2020-W37","IT","Italy",1861,142
2020-09-08,"2020-W37","IT","Italy",1903,143
2020-09-09,"2020-W37","IT","Italy",1928,150
2020-09-10,"2020-W37","IT","Italy",2000,164
2020-09-11,"2020-W37","IT","Italy",2024,175
2020-09-12,"2020-W37","IT","Italy",2133,182
2020-09-13,"2020-W37","IT","Italy",2229,187
2020-09-14,"2020-W38","IT","Italy",2319,197
2020-09-15,"2020-W38","IT","Italy",2423,201
2020-09-16,"2020-W38","IT","Italy",2492,207
2020-09-17,"2020-W38","IT","Italy",2560,212
2020-09-18,"2020-W38","IT","Italy",2595,208
2020-09-19,"2020-W38","IT","Italy",2595,215
2020-09-20,"2020-W38","IT","Italy",2587,222
2020-09-21,"2020-W39","IT","Italy",2707,232
2020-09-22,"2020-W39","IT","Italy",2843,239
2020-09-23,"2020-W39","IT","Italy",2902,244
