"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W05",2020-02-02,"ES","Spain",NA,NA,0.0426102529642888,0.00639153794464332
"2020-W06",2020-02-03,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-04,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-05,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-06,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-07,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-08,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W06",2020-02-09,"ES","Spain",NA,NA,0.087351018576792,0.0149135885375011
"2020-W07",2020-02-10,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-11,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-12,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-13,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-14,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-15,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-16,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-17,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W07",2020-02-18,"ES","Spain",NA,NA,0.227964853358945,0.0255661517785733
"2020-W08",2020-02-19,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W08",2020-02-20,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W08",2020-02-21,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W08",2020-02-22,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W08",2020-02-23,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W08",2020-02-24,"ES","Spain",NA,NA,0.468712782607177,0.0852205059285776
"2020-W09",2020-02-25,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W09",2020-02-26,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W09",2020-02-27,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W09",2020-02-28,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W09",2020-02-29,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W09",2020-03-01,"ES","Spain",NA,NA,2.54809312726447,0.411188941105387
"2020-W10",2020-03-02,"ES","Spain",NA,NA,12.6680282062831,1.83437139011263
