"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/13","VC",110593,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/25","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/26","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/27","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/28","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/29","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/30","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/31","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/01","VC",110593,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/02","VC",110593,1,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/03","VC",110593,0,0,2,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/04","VC",110593,5,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/05","VC",110593,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/06","VC",110593,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/07","VC",110593,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/08","VC",110593,1,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/09","VC",110593,0,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/10","VC",110593,4,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/11","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/12","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/13","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/14","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/15","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/16","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/17","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/18","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/19","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/20","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/21","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/22","VC",110593,0,0,12,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/23","VC",110593,1,0,13,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/24","VC",110593,0,0,13,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/25","VC",110593,1,0,14,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/26","VC",110593,0,0,14,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/27","VC",110593,0,0,14,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/28","VC",110593,1,0,15,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/29","VC",110593,1,0,16,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
