"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRAC",803513,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRAL",3340932,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRAM",3938336,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRAP",766679,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRBA",15203934,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRCE",8904459,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRDF",2914830,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRES",3929911,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRFN",3061,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRGO",6610681,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRMA",6904241,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRMG",20869101,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRMS",2651235,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRMT",3265486,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRPA",8175113,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRPB",3972202,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRPE",9345173,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRPI",3204028,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRPR",11163018,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRRJ",16550024,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRRN",3442175,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRRO",1768204,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRRR",505665,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRRS",11247972,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRSC",6819190,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRSE",2242937,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRSP",44396484,0,0,0,0,0,0,0,0,0,0
"BR",2020-04-18,204453710,0,NA,5,2,0,0,0,0,0,0,"BRTO",1515126,0,0,0,0,0,0,0,0,0,0
