"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-01-01,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-02,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-03,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-04,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-05,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-06,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-07,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-08,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-09,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-10,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-11,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-12,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-13,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-14,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-15,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-16,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-17,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-18,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-19,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-01-20,"País Vasco","ESPV",2207776,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
