"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0.00181818181818182,0,0,0
2020-03-25,0.00181818181818182,0,0,0
2020-03-26,0.00181818181818182,0,0,0
2020-03-27,0.00181818181818182,0,0,0
2020-03-28,0.00350877192982456,0,0,0
2020-03-29,0.00350877192982456,0,0,0
2020-03-30,0.00350877192982456,0,0,0
2020-03-31,0.00350877192982456,0,0,0
2020-04-01,0.0032258064516129,0,0,0
2020-04-02,0.00297397769516729,0,0,0
2020-04-03,0.00297397769516729,0,0,0
2020-04-04,0.00297397769516729,0,0,0
2020-04-05,0.00297397769516729,0,0,0
2020-04-06,0.00297397769516729,0,0,0
2020-04-07,0.00267558528428094,0,0,0
2020-04-08,0.00250783699059561,0,0,0
2020-04-09,0.00309119010819165,0,0,0
2020-04-10,0.00360576923076923,0,0,0
2020-04-11,0.00360576923076923,0,0,0
2020-04-12,0.00352112676056338,0,0,0
2020-04-13,0.00391236306729264,0,0,0
2020-04-14,0.00377216144851,0,0,0
2020-04-15,0.00377216144851,0,0,0
2020-04-16,0.00384467512495194,0,0,0
2020-04-17,0.00384467512495194,0,0,0
2020-04-18,0.00384467512495194,0,0,0
2020-04-19,0.00377216144851,0,0,0
2020-04-20,0.00377216144851,0,0,0
2020-04-21,0.00377216144851,0,0,0
2020-04-22,0.00377216144851,0,0,0
2020-04-23,0.00377216144851,0,0,0
2020-04-24,0.00377216144851,0,0,0
2020-04-25,0.00377216144851,0,0,0
2020-04-26,0.00377216144851,0,0,0
2020-04-27,0.00377216144851,0,0,0
2020-04-28,0.00377216144851,0,0,0
2020-04-29,0.00377216144851,0,0,0
2020-04-30,0.00659099231050897,0,0,0
2020-05-01,0.00659099231050897,0,0,0
2020-05-02,0.00659099231050897,0,0,0
2020-05-03,0.00659099231050897,0,0,0
2020-05-04,0.00659099231050897,0,0,0
2020-05-05,0.00659099231050897,0,0,0
2020-05-06,0.00651937703730532,0,0,0
2020-05-07,0.00644930132568972,0,0,0
2020-05-08,0.00644930132568972,0,0,0
2020-05-09,0.00644930132568972,0,0,0
2020-05-10,0.00644930132568972,0,0,0
2020-05-11,0.0064034151547492,0,0,0
2020-05-12,0.0064034151547492,0,0,0
2020-05-13,0.0064034151547492,0,0,0
2020-05-14,0.0064034151547492,0,0,0
2020-05-15,0.0064034151547492,0,0,0
2020-05-16,0.0064034151547492,0,0,0
2020-05-17,0.0064034151547492,0,0,0
2020-05-18,0.0064034151547492,0,0,0
2020-05-19,0.0064034151547492,0,0,0
2020-05-20,0.0064034151547492,0,0,0
2020-05-21,0.0064034151547492,0,0,0
2020-05-22,0.0064034151547492,0,0,0
2020-05-23,0.0064034151547492,0,0,0
2020-05-24,0.0064034151547492,0,0,0
2020-05-25,0.0064034151547492,0,0,0
2020-05-26,0.0064034151547492,0,0,0
2020-05-27,0.0064034151547492,0,0,0
2020-05-28,0.0064034151547492,0,0,0
2020-05-29,0.0064034151547492,0,0,0
2020-05-30,0.0064034151547492,0,0,0
2020-05-31,0.0064034151547492,0,0,0
2020-06-01,0.0064034151547492,0,0,0
2020-06-02,0.0064034151547492,0,0,0
2020-06-03,0.0064034151547492,0,0,0
2020-06-04,0.0064034151547492,0,0,0
2020-06-05,0.0064034151547492,0,0,0
2020-06-06,0.0064034151547492,0,0,0
2020-06-07,0.0064034151547492,0,0,0
2020-06-08,0.0064034151547492,0,0,0
2020-06-09,0.0064034151547492,0,0,0
2020-06-10,0.0064034151547492,0,0,0
2020-06-11,0.0064034151547492,0,0,0
2020-06-12,0.0061898211829436,0,0,0
2020-06-13,0.0061898211829436,0,0,0
2020-06-14,0.0061898211829436,0,0,0
2020-06-15,0.0061898211829436,0,0,0
2020-06-16,0.0061898211829436,0,0,0
2020-06-17,0.0061898211829436,0,0,0
2020-06-18,0.0061898211829436,0,0,0
2020-06-19,0.0061898211829436,0,0,0
2020-06-20,0.0061898211829436,0,0,0
2020-06-21,0.0061898211829436,0,0,0
2020-06-22,0.0061898211829436,0,0,0
2020-06-23,0.0061898211829436,0,0,0
2020-06-24,0.0061898211829436,0,0,0
2020-06-25,0.0061898211829436,0,0,0
2020-06-26,0.0061898211829436,0,0,0
2020-06-27,0.0061898211829436,0,0,0
2020-06-28,0.0061898211829436,0,0,0
2020-06-29,0.0061898211829436,0,0,0
2020-06-30,0.0061898211829436,0,0,0
2020-07-01,0.0061898211829436,0,0,0
2020-07-02,0.0061898211829436,0,0,0
2020-07-03,0.0061898211829436,0,0,0
2020-07-04,0.0130674002751032,0,0,0
2020-07-05,0.0130674002751032,0,0,0
2020-07-06,0.0130674002751032,0,0,0
2020-07-07,0.0130674002751032,0,0,0
2020-07-08,0.0130674002751032,0,0,0
2020-07-09,0.0130674002751032,0,0,0
2020-07-10,0.0130674002751032,0,0,0
2020-07-11,0.0130674002751032,0,0,0
2020-07-12,0.0130674002751032,0,0,0
2020-07-13,0.0130674002751032,0,0,0
2020-07-14,0.0130674002751032,0,0,0
2020-07-15,0.0130674002751032,0,0,0
2020-07-16,0.0130674002751032,0,0,0
2020-07-17,0.0130674002751032,0,0,0
2020-07-18,0.0130674002751032,0,0,0
2020-07-19,0.0149501661129568,0,0,0
2020-07-20,0.0179487179487179,0,0,0
2020-07-21,0.02,0,0,0
2020-07-22,0.0213793103448276,0,0,0
2020-07-23,0.0222222222222222,0,0,0
2020-07-24,0.024,0,0,0
2020-07-25,0.024,0,0,0
