"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESAL",716820,0,0,0,0,0,0,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESCO",782979,0,0,0,0,0,0,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESGR",914678,0.05,0.05,0,0,20,1,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESH",521870,0.00833333333333333,0.025,0,0,120,2,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESCA",1240155,0,0,0,0,20,1,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESJ",633564,0,0,0,0,0,0,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESMA",1661785,0.0569105691056911,0.035,0.00813008130081301,0.005,123,4,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAN","ESSE",1942389,0.0105263157894737,0.00625,0,0,95,2,8414240,0.0381194409148666,0.036481092981093,0.00194174757281553,0.00238683127572016,1574,30,0.0196217539252467,0.0153410238179562,0.00160566458224053,0.000987483718077925,378,378,0.0345374093154422,0.0323873705714282,0.00187666592812427,0.00211585106220133
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAR","ESTE",134137,0,0,0,0,0,0,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.210929072451094,0.109683117674569,0,0,52,52,0.0563661232805622,0.0815997365973725,0.000749106645248008,0.000422756706753006
"ES",2020-07-04,47026208,0.106677202686685,0.00942507068803016,2531,30,0.053946941544208,16661,0.00198259917090563,16661,0.0609008958455632,0.00296409643069316,"ESAR","ESHU",220461,0,0,0,0,0,0,1319291,0.0519693654266958,0.0808008658008658,0.000770416024653313,0.000434782608695652,1828,30,0.210929072451094,0.109683117674569,0,0,52,52,0.0563661232805622,0.0815997365973725,0.000749106645248008,0.000422756706753006
