"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","fatalities_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","fatalities_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","fatalities_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","fatalities_p_w_provs","fatalities_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","fatalities_p_w_regs_only","fatalities_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","fatalities_p_w_regs_rhs","fatalities_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","fatalities_p_w_regs","fatalities_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESAL",716820,0,0,0,0,0,0,0,0,20,1,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,0,0,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESGR",914678,0.0661157024793388,0.0378623188405797,0,0,0.0198019801980198,0.00966183574879227,0.00826446280991736,0.0036231884057971,121,4,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESH",521870,0,0,0,0,0,0,0,0,152,3,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESCA",1240155,0,0,0,0,0,0,0,0,0,0,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESJ",633564,0.155555555555556,0.155555555555556,0.0111111111111111,0.0111111111111111,0,0,0.0111111111111111,0.0111111111111111,90,1,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESMA",1661785,0.133333333333333,0.133333333333333,0,0,0,0,0,0,45,1,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAN","ESSE",1942389,0,0,0,0,0,0,0,0,100,4,8414240,0,0,0,0,0,0,0,0,0,0,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708,528,528,0.0452328804319499,0.0421615693640539,0.000836629333130503,0.000836629333130503,0.00215259318055634,0.00105029908809754,0.00173502566055278,0.00123049149116708
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,0,0,1319291,0,0,0,0,0,0,0,0,0,0,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0,103,103,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0
"ES",2020-10-04,47026208,0.048936170212766,0,0.00238095238095238,0,470,5,0.0512617827226907,906,0.00422047718346542,0.00391778367135787,0.0073749103738658,906,0.0504674237985158,0.00277888977341546,0.00339284856489669,0.0048558639525599,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,0,0,1319291,0,0,0,0,0,0,0,0,0,0,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0,103,103,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0
