"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","cap","floor","date"
"1",0.757219403968629,0,6.17605576060521,0.757219403968629,0.757219403968629,0.757219403968629,"SV",6453550,1,0,1,0,1,0,1,1,1.54953475219065e-07,1.54953475219065e-07,1.54953475219065e-07,1.54953475219065e-07,0,81,0,2020-03-19
"2",0.772932017571324,0,5.93512607264554,0.772932017571324,0.772932017571324,0.772932017571324,"SV",6453550,0,0,1,0,1,0,1,1,1.54953475219065e-07,0,1.54953475219065e-07,1.54953475219065e-07,0,81,0,2020-03-20
"3",0.78896746861935,0,6.17413836196233,0.78896746861935,0.78896746861935,0.78896746861935,"SV",6453550,2,0,3,0,3,0,3,3,4.64860425657196e-07,3.09906950438131e-07,4.64860425657196e-07,4.64860425657196e-07,0,81,0,2020-03-21
"4",0.805332255902605,0,5.97864669710281,0.805332255902605,0.805332255902605,0.805332255902605,"SV",6453550,0,0,3,0,3,0,3,3,4.64860425657196e-07,0,4.64860425657196e-07,4.64860425657196e-07,0,81,0,2020-03-22
"5",0.8220330034041,0,6.22656807218309,0.8220330034041,0.8220330034041,0.8220330034041,"SV",6453550,0,0,3,0,3,0,3,3,4.64860425657196e-07,0,4.64860425657196e-07,4.64860425657196e-07,0,81,0,2020-03-23
"6",0.839076462474625,0,6.20889921160232,0.839076462474625,0.839076462474625,0.839076462474625,"SV",6453550,2,0,5,0,5,0,5,5,7.74767376095327e-07,3.09906950438131e-07,7.74767376095327e-07,7.74767376095327e-07,0,81,0,2020-03-24
"7",0.856469514035016,0,5.86490488175095,0.856469514035016,0.856469514035016,0.856469514035016,"SV",6453550,4,0,9,0,9,0,9,9,1.39458127697159e-06,6.19813900876262e-07,1.39458127697159e-06,1.39458127697159e-06,0,81,0,2020-03-25
"8",0.874219170805862,0,6.01405323757848,0.874219170805862,0.874219170805862,0.874219170805862,"SV",6453550,4,0,12,0,13,0,13,13,2.01439517784785e-06,6.19813900876262e-07,2.01439517784785e-06,2.01439517784785e-06,0,81,0,2020-03-26
"9",0.892332579564513,0,6.18357392785412,0.892332579564513,0.892332579564513,0.892332579564513,"SV",6453550,0,0,12,0,13,0,13,13,2.01439517784785e-06,0,2.01439517784785e-06,2.01439517784785e-06,0,81,0,2020-03-27
"10",0.910817023429226,0,6.07967569518782,0.910817023429226,0.910817023429226,0.910817023429226,"SV",6453550,0,0,10,0,13,0,13,13,2.01439517784785e-06,0,2.01439517784785e-06,2.01439517784785e-06,0,81,0,2020-03-28
"11",0.929679924170205,0,6.11622123551272,0.929679924170205,0.929679924170205,0.929679924170205,"SV",6453550,6,0,16,0,19,0,19,19,2.94411602916224e-06,9.29720851314393e-07,2.94411602916224e-06,2.94411602916224e-06,0,81,0,2020-03-29
"12",0.94899350593185,0,5.88906072535344,0.94899350593185,0.94899350593185,0.94899350593185,"SV",6453550,11,0,27,0,30,0,30,30,4.64860425657196e-06,1.70448822740972e-06,4.64860425657196e-06,4.64860425657196e-06,0,81,0,2020-03-30
"13",0.968703462448805,0,6.03538671937998,0.968703462448805,0.968703462448805,0.968703462448805,"SV",6453550,2,0,27,0,32,0,31,32,4.9585112070101e-06,3.09906950438131e-07,4.80355773179103e-06,4.9585112070101e-06,0,81,0,2020-03-31
"14",0.98881772491167,0,6.092930695446,0.98881772491167,0.98881772491167,0.98881772491167,"SV",6453550,0,1,23,1,32,1,31,32,4.9585112070101e-06,0,4.80355773179103e-06,4.9585112070101e-06,1,81,0,2020-04-01
"15",1.00934437466784,0,6.08158754449484,1.00934437466784,1.00934437466784,1.00934437466784,"SV",6453550,9,1,28,2,41,2,38,41,6.35309248398168e-06,1.39458127697159e-06,5.88823205832449e-06,6.35309248398168e-06,1,81,0,2020-04-02
"16",1.03029164570379,0,6.26681590681861,1.03029164570379,1.03029164570379,1.03029164570379,"SV",6453550,5,0,33,2,46,2,43,46,7.12785986007701e-06,7.74767376095327e-07,6.66299943441982e-06,7.12785986007701e-06,0,81,0,2020-04-03
"17",1.05166792715274,0,5.82695455442624,1.05166792715274,1.05166792715274,1.05166792715274,"SV",6453550,10,1,43,3,56,3,53,56,8.67739461226767e-06,1.54953475219065e-06,8.21253418661047e-06,8.67739461226767e-06,1,81,0,2020-04-04
"18",1.07348176582721,0,6.04129146604893,1.07348176582721,1.07348176582721,1.07348176582721,"SV",6453550,6,0,43,3,62,3,57,62,9.60711546358206e-06,9.29720851314393e-07,8.83234808748673e-06,9.60711546358206e-06,0,81,0,2020-04-05
"19",1.09574186877596,0,5.93113266795567,1.09574186877596,1.09574186877596,1.09574186877596,"SV",6453550,7,0,39,3,69,3,60,68,1.06917897901155e-05,1.08467432653346e-06,9.29720851314393e-06,1.05368363148965e-05,0,81,0,2020-04-06
"20",1.11845710586466,0,6.39716414966852,1.11845710586466,1.11845710586466,1.11845710586466,"SV",6453550,9,1,46,4,78,4,65,77,1.20863710670871e-05,1.39458127697159e-06,1.00719758892393e-05,1.1931417591868e-05,1,81,0,2020-04-07
"21",1.14163651248763,0,6.51638818250325,1.14163651248763,1.14163651248763,1.14163651248763,"SV",6453550,0,0,46,3,78,4,65,75,1.20863710670871e-05,0,1.00719758892393e-05,1.16215106414299e-05,0,81,0,2020-04-08
"22",1.16528929187475,0,6.67875884090883,1.16528929187475,1.16528929187475,1.16528929187475,"SV",6453550,25,1,62,3,103,5,90,100,1.59602079475637e-05,3.87383688047664e-06,1.39458127697159e-05,1.54953475219065e-05,1,81,0,2020-04-09
"23",1.18942481805447,0,6.68785964578587,1.18942481805447,1.18942481805447,1.18942481805447,"SV",6453550,14,1,71,4,117,6,98,114,1.81295566006307e-05,2.16934865306692e-06,1.51854405714684e-05,1.76646961749735e-05,1,81,0,2020-04-10
"24",1.21405263841902,0,6.0958179412844,1.21405263841902,1.21405263841902,1.21405263841902,"SV",6453550,1,0,62,3,118,6,88,113,1.82845100758497e-05,1.54953475219065e-07,1.36359058192778e-05,1.75097426997544e-05,0,81,0,2020-04-11
"25",1.23918247641326,0,6.14615837173947,1.23918247641326,1.23918247641326,1.23918247641326,"SV",6453550,0,0,56,3,118,6,86,109,1.82845100758497e-05,0,1.33259988688396e-05,1.68899287988781e-05,0,81,0,2020-04-12
"26",1.26482423424263,0,6.27963104764591,1.26482423424263,1.26482423424263,1.26482423424263,"SV",6453550,7,0,56,3,125,6,93,112,1.93691844023832e-05,1.08467432653346e-06,1.44106731953731e-05,1.73547892245353e-05,0,81,0,2020-04-13
"27",1.29098799559918,0,6.53522014000657,1.29098799559918,1.29098799559918,1.29098799559918,"SV",6453550,24,0,71,2,149,6,108,136,2.30880678076408e-05,3.71888340525757e-06,1.67349753236591e-05,2.10736726297929e-05,0,81,0,2020-04-14
"28",1.31768402840463,0,6.80774558676385,1.31768402840463,1.31768402840463,1.31768402840463,"SV",6453550,10,0,81,2,159,6,113,146,2.46376025598314e-05,1.54953475219065e-06,1.75097426997544e-05,2.26232073819836e-05,0,81,0,2020-04-15
"29",1.34492278756938,0,6.13834468540104,1.34492278756938,1.34492278756938,1.34492278756938,"SV",6453550,0,0,56,1,159,6,103,140,2.46376025598314e-05,0,1.59602079475637e-05,2.16934865306692e-05,0,81,0,2020-04-16
"30",1.3727149177661,0,6.7335781915399,1.3727149177661,1.3727149177661,1.3727149177661,"SV",6453550,5,0,47,0,164,6,102,134,2.54123699359267e-05,7.74767376095327e-07,1.58052544723447e-05,2.07637656793548e-05,0,81,0,2020-04-17
"31",1.40107126486175,0,6.5883876669431,1.40107126486175,1.40107126486175,1.40107126486175,"SV",6453550,13,1,59,1,177,7,108,145,2.74267651137746e-05,2.01439517784785e-06,1.67349753236591e-05,2.24682539067645e-05,1,81,0,2020-04-18
"32",1.43000285313247,0,6.64115074144922,1.43000285313247,1.43000285313247,1.43000285313247,"SV",6453550,13,0,72,1,190,7,112,158,2.94411602916224e-05,2.01439517784785e-06,1.73547892245353e-05,2.44826490846123e-05,0,81,0,2020-04-19
"33",1.45952091331704,0,6.71987593368331,1.45952091331704,1.45952091331704,1.45952091331704,"SV",6453550,11,0,76,1,201,7,123,160,3.11456485190322e-05,1.70448822740972e-06,1.90592774519451e-05,2.47925560350505e-05,0,81,0,2020-04-20
"34",1.48963687713126,0,6.52332265523495,1.48963687713126,1.48963687713126,1.48963687713126,"SV",6453550,17,0,69,1,218,7,115,172,3.37798575977563e-05,2.63420907872411e-06,1.78196496501925e-05,2.66519977376793e-05,0,81,0,2020-04-21
"35",1.52036238009408,0,6.92051659517438,1.52036238009408,1.52036238009408,1.52036238009408,"SV",6453550,7,0,66,1,225,7,108,169,3.48645319242897e-05,1.08467432653346e-06,1.67349753236591e-05,2.61871373120221e-05,0,81,0,2020-04-22
"36",1.55170926435937,0,6.65290572590485,1.55170926435937,1.55170926435937,1.55170926435937,"SV",6453550,12,1,78,2,237,8,119,175,3.67239736269185e-05,1.85944170262879e-06,1.84394635510688e-05,2.71168581633365e-05,1,81,0,2020-04-23
"37",1.58368958155165,0,6.59833678190042,1.58368958155165,1.58368958155165,1.58368958155165,"SV",6453550,13,0,86,2,250,8,132,181,3.87383688047664e-05,2.01439517784785e-06,2.04538587289166e-05,2.80465790146509e-05,0,81,0,2020-04-24
"38",1.61631559560368,0,6.6970582306339,1.61631559560368,1.61631559560368,1.61631559560368,"SV",6453550,11,0,84,1,261,8,136,183,4.04428570321761e-05,1.70448822740972e-06,2.10736726297929e-05,2.8356485965089e-05,0,81,0,2020-04-25
"39",1.6495997855941,0,7.00309609238819,1.6495997855941,1.6495997855941,1.6495997855941,"SV",6453550,37,0,108,1,298,8,149,220,4.61761356152815e-05,5.73327858310542e-06,2.30880678076408e-05,3.40897645481944e-05,0,81,0,2020-04-26
"40",1.68355485014137,0,7.08475305493767,1.68355485014137,1.68355485014137,1.68355485014137,"SV",6453550,0,0,97,1,298,8,139,195,4.61761356152815e-05,0,2.15385330554501e-05,3.02159276677178e-05,0,81,0,2020-04-27
"41",1.71819370562175,0,6.31852110538007,1.71819370562175,1.71819370562175,1.71819370562175,"SV",6453550,25,0,105,1,323,8,164,206,5.00499724957581e-05,3.87383688047664e-06,2.54123699359267e-05,3.19204158951275e-05,0,81,0,2020-04-28
"42",1.75352949354553,0,6.66662669268344,1.75352949354553,1.75352949354553,1.75352949354553,"SV",6453550,22,1,120,2,345,9,181,227,5.34589489505776e-05,3.40897645481944e-06,2.80465790146509e-05,3.51744388747279e-05,1,81,0,2020-04-29
"43",1.78957558187435,0,6.97804556066813,1.78957558187435,1.78957558187435,1.78957558187435,"SV",6453550,32,0,140,1,377,9,200,259,5.84174601575877e-05,4.9585112070101e-06,3.09906950438131e-05,4.0132950081738e-05,0,81,0,2020-04-30
"44",1.82634556782431,0,6.97544498485823,1.82634556782431,1.82634556782431,1.82634556782431,"SV",6453550,47,1,174,2,424,10,234,299,6.57002734928838e-05,7.28281333529608e-06,3.62591132012613e-05,4.63310890905006e-05,1,81,0,2020-05-01
"45",1.86385328065443,0,7.26143341487931,1.86385328065443,1.86385328065443,1.86385328065443,"SV",6453550,22,0,185,2,446,10,245,297,6.91092499477032e-05,3.40897645481944e-06,3.7963601428671e-05,4.60211821400624e-05,0,81,0,2020-05-02
"46",1.90211278443777,0,7.12181452704474,1.90211278443777,1.90211278443777,1.90211278443777,"SV",6453550,0,1,148,3,446,11,228,287,6.91092499477032e-05,0,3.53293923499469e-05,4.44716473878718e-05,1,81,0,2020-05-03
"47",1.94113838081206,0,6.8753149621286,1.94113838081206,1.94113838081206,1.94113838081206,"SV",6453550,109,1,257,4,555,12,330,396,8.59991787465813e-05,1.68899287988781e-05,5.11346468222916e-05,6.13615761867499e-05,1,81,0,2020-05-04
"48",1.98094461170688,0,7.03823358044526,1.98094461170688,1.98094461170688,1.98094461170688,"SV",6453550,32,1,264,5,587,13,350,423,9.09576899535914e-05,4.9585112070101e-06,5.42337163266729e-05,6.55453200176647e-05,1,81,0,2020-05-05
"49",2.02154626204394,0,7.26698063570989,2.02154626204394,2.02154626204394,2.02154626204394,"SV",6453550,0,1,242,5,587,14,337,410,9.09576899535914e-05,0,5.22193211488251e-05,6.35309248398168e-05,1,81,0,2020-05-06
"50",2.0629583624684,0,7.3140458132133,2.0629583624684,2.0629583624684,2.0629583624684,"SV",6453550,108,1,318,6,695,15,434,505,0.000107692665277251,1.67349753236591e-05,6.72498082450744e-05,7.82515049856281e-05,1,81,0,2020-05-07
"51",2.10519619180407,0,7.35119744414244,2.10519619180407,2.10519619180407,2.10519619180407,"SV",6453550,0,0,271,5,695,15,397,494,0.000107692665277251,0,6.1516529661969e-05,7.65470167582183e-05,0,81,0,2020-05-08
